year,country_txt,region_txt,incident_count,GDP per capita,population,incident_per_capita,education_level
2001,Afghanistan,South Asia,14,489.682,19688634.0,7.110701534702712e-07,2.2
2001,Albania,Eastern Europe,1,5285.809,3153615.0,3.170964115784584e-07,8.7
2001,Algeria,Middle East & North Africa,113,7218.2456,31200984.0,3.621680649559001e-06,6.1
2001,Angola,Sub-Saharan Africa,40,2162.485,16941584.0,2.3610543146378758e-06,4.4
2001,Argentina,South America,2,13651.981,37480492.0,5.336109248512533e-08,9.1
2001,Armenia,Central Asia,2,5457.5103,3133138.0,6.383376665821933e-07,10.7
2001,Australia,Australasia & Oceania,2,37275.992,19248146.0,1.0390611126910612e-07,11.9
2001,Azerbaijan,Central Asia,4,4498.7944,8282030.0,4.829733773000098e-07,10.6
2001,Bangladesh,South Asia,15,1551.1965,131670488.0,1.1392074433566313e-07,4.3
2001,Belarus,Eastern Europe,1,9462.374,10201212.0,9.802756770470019e-08,9.0
2001,Brazil,South America,3,9953.31,178211888.0,1.6833893819698492e-08,5.8
2001,Bulgaria,Eastern Europe,1,8832.291,8034863.0,1.2445762920911035e-07,9.9
2001,Burundi,Sub-Saharan Africa,37,730.4278,6465731.0,5.722477473931408e-06,1.9
2001,Cambodia,Southeast Asia,7,1726.4713,12338198.0,5.673437887769348e-07,3.3
2001,Central African Republic,Sub-Saharan Africa,1,952.5118,3844780.0,2.6009290518573235e-07,2.9
2001,Chile,South America,3,15448.009,15523973.0,1.9324949869469626e-07,9.0
2001,China,East Asia,12,4995.1445,1272739584.0,9.428480225535282e-09,6.5
2001,Colombia,South America,207,8528.033,39837876.0,5.196060151399638e-06,6.5
2001,Costa Rica,Central America & Caribbean,1,9451.615,4053223.0,2.4671724205650666e-07,8.0
2001,Croatia,Eastern Europe,3,13817.681,4506760.0,6.656666873762969e-07,9.8
2001,Cyprus,Western Europe,1,23095.736,964838.0,1.0364434236628325e-06,10.1
2001,Ecuador,South America,5,7131.194,12845523.0,3.8924067163322193e-07,7.0
2001,Estonia,Eastern Europe,1,17696.61,1388000.0,7.204610951008645e-07,11.8
2001,France,Western Europe,21,33920.098,59014776.0,3.5584308580617166e-07,10.0
2001,Georgia,Central Asia,4,5125.1274,4144485.0,9.65138008703132e-07,11.8
2001,Germany,Western Europe,8,34260.29,81514568.0,9.81419664764708e-08,11.7
2001,Greece,Western Europe,14,21913.797,11072182.0,1.264430082525739e-06,8.8
2001,Guatemala,Central America & Caribbean,2,5882.7197,12009197.0,1.6653902837966603e-07,3.8
2001,Guinea-Bissau,Sub-Saharan Africa,1,1233.072,1257390.0,7.952981970589872e-07,7.907189542483661
2001,Haiti,Central America & Caribbean,5,1501.1025,8511728.0,5.874247861303839e-07,3.9
2001,Hong Kong,East Asia,1,32734.201,6801538.0,1.4702556980494706e-07,9.1
2001,Hungary,Eastern Europe,1,13933.562,10177955.0,9.825156428771792e-08,10.3
2001,India,South Asia,234,2837.8555,1078970880.0,2.1687332284630332e-07,4.5
2001,Indonesia,Southeast Asia,105,5526.1475,217112432.0,4.836203944323188e-07,6.9
2001,Iran,Middle East & North Africa,4,9620.627,66674856.0,5.999263050526873e-08,6.4
2001,Iraq,Middle East & North Africa,3,4147.6484,25425666.0,1.1799100955703579e-07,5.2
2001,Ireland,Western Europe,2,40966.332,3829019.0,5.223269981162277e-07,11.0
2001,Israel,Middle East & North Africa,79,25427.32,6237984.0,1.2664347968830956e-05,12.1
2001,Italy,Western Europe,11,33511.434,56994992.0,1.9299941300105806e-07,8.7
2001,Japan,East Asia,3,33246.39,127065736.0,2.36098266490976e-08,10.8
2001,Jordan,Middle East & North Africa,2,7982.7407,5163313.0,3.8734820066108716e-07,9.6
2001,Kazakhstan,Central Asia,1,10589.103,15281288.0,6.543951007271115e-08,10.7
2001,Kenya,Sub-Saharan Africa,7,1972.3811,31800344.0,2.201234049543615e-07,5.4
2001,Kuwait,Middle East & North Africa,2,37225.87,1991676.0,1.0041793946404938e-06,6.2
2001,Kyrgyzstan,Central Asia,1,3357.993,4981443.0,2.0074504516060909e-07,9.9
2001,Laos,Southeast Asia,1,2365.1033,5519714.0,1.811688069345622e-07,4.0
2001,Lebanon,Middle East & North Africa,5,7836.8267,4389201.0,1.1391594962272177e-06,7.907189542483661
2001,Liberia,Sub-Saharan Africa,3,1097.2496,2981655.0,1.0061526232914272e-06,3.5
2001,Malaysia,Southeast Asia,1,13307.215,23542522.0,4.247633282449518e-08,8.4
2001,Mexico,North America,7,12565.465,99394288.0,7.042658225993832e-08,6.8
2001,Montenegro,Eastern Europe,1,6429.561,633062.0,1.5796241126461547e-06,7.907189542483661
2001,Myanmar,Southeast Asia,3,1996.3737,46014828.0,6.519637539447068e-08,3.2
2001,Namibia,Sub-Saharan Africa,6,5888.432,1856406.0,3.232051609400099e-06,5.8
2001,Nepal,South Asia,33,1738.3142,24956070.0,1.3223235870070888e-06,2.5
2001,Netherlands,Western Europe,1,38636.223,15981630.0,6.257184029413771e-08,11.0
2001,New Zealand,Australasia & Oceania,1,27167.318,3889587.0,2.570967046115693e-07,11.6
2001,Nigeria,Sub-Saharan Africa,5,2282.823,126152680.0,3.963451271903221e-08,7.907189542483661
2001,Norway,Western Europe,1,56578.38,4514019.0,2.2153207596157659e-07,12.1
2001,Pakistan,South Asia,53,3176.9468,159217728.0,3.328775046959595e-07,3.5
2001,Peru,South America,3,6010.225,27014912.0,1.1104977872961422e-07,8.1
2001,Philippines,Southeast Asia,50,4090.2183,79626088.0,6.279349049522564e-07,7.7
2001,Poland,Eastern Europe,1,13017.584,38662860.0,2.5864615292298603e-08,11.1
2001,Qatar,Middle East & North Africa,1,50525.707,678838.0,1.4731055126554494e-06,8.0
2001,Russia,Eastern Europe,135,11391.194,146235520.0,9.231683246313891e-07,11.4
